dataset,group,queryName,method,actual,estimated,relativeError,qError,fitTimeMs,inferTotalMs,inferPerQueryUs,throughputQps,heapDeltaBytes
synthetic_D2,medium,synthetic_D2_medium_86,ProposedCEDEstimator,1194.0,1040.3540,0.128682,1.147686,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_87,ProposedCEDEstimator,1305.0,1242.1386,0.048170,1.050607,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_88,ProposedCEDEstimator,2009.0,1891.9662,0.058255,1.061858,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_89,ProposedCEDEstimator,1585.0,1579.7450,0.003315,1.003327,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_90,ProposedCEDEstimator,1892.0,1804.8130,0.046082,1.048308,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_91,ProposedCEDEstimator,2733.0,2652.0972,0.029602,1.030505,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_92,ProposedCEDEstimator,2072.0,1953.7878,0.057052,1.060504,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_93,ProposedCEDEstimator,1481.0,1421.8293,0.039953,1.041616,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_94,ProposedCEDEstimator,1478.0,1432.0566,0.031085,1.032082,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_95,ProposedCEDEstimator,1944.0,1935.5033,0.004371,1.004390,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_96,ProposedCEDEstimator,1409.0,1347.7019,0.043505,1.045483,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_97,ProposedCEDEstimator,1170.0,1086.8280,0.071087,1.076527,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_98,ProposedCEDEstimator,2771.0,2627.5515,0.051768,1.054594,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_99,ProposedCEDEstimator,1400.0,1203.2941,0.140504,1.163473,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_100,ProposedCEDEstimator,2386.0,2395.4801,0.003973,1.003973,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_101,ProposedCEDEstimator,2893.0,2864.9245,0.009705,1.009800,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_102,ProposedCEDEstimator,2132.0,1986.3365,0.068322,1.073333,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_103,ProposedCEDEstimator,1823.0,1761.4480,0.033764,1.034944,262.710,11.787,19.645,50903.914,131424
